RunID,Timestamp,Model + version string,Input tokens	,Output tokens	,total tokens,Wall-clock time (s)        ,Tool-reported time (s)	,Files produced	,Lines of code	,Runs in browser?	,App Quality Score (/12),Code Quality Score (/12),Score Total out of 24,App Quality Notes	,Code Quality Notes	
candidate-001,2026-04-12T14:43:04-07:00,gemini-3-flash-preview,"67,972","6,298","74,270",331,93,3,459,1,8,11,19,"work fine, but content not make that much sense","look okay, but can with more comments "
candidate-002,2026-04-12T14:52:38-07:00,gemini-3-flash-preview,"33,920","3,348","37,268",178,76,3,337,1,9,11,20,"work fine, but not creative","look okay, but can with more comments "
candidate-003,2026-04-12T15:11:58-07:00,gemini-3-flash-preview,"22,140","2,677","24,817",294,80,3,296,1,10,11,21,the animation is quite catchy,have nice comments in js file
candidate-004,2026-04-12T15:17:04-07:00,gemini-3-flash-preview,"47,110","3,292","50,402",305,155,3,275,1,7,10,17,didn't add credit at all,not modulized
candidate-005,2026-04-12T15:22:30-07:00,gemini-3-flash-preview,"60,360","5,295","65,655",146,94,3,348,1,8,11,19,"ui is nice, but the machine logic is not fully correct ","look okay, but can with more comments "
candidate-006,2026-04-12T15:31:39-07:00,gemini-3-flash-preview,"15,149","5,225","20,374",158,94,3,304,1,10,11,21,explain the rules in the frontend,readable
candidate-007,2026-04-12T15:35:01-07:00,gemini-3-flash-preview,"34,738",5299,"40,037",280,112,3,270,1,11,11,22,"explain the rules really well, function correctly ",readable
candidate-008,2026-04-12T15:40:41-07:00,gemini-3-flash-preview,"24,887","2,993","27,880",127,50,3,299,1,10,11,21,the animation slot is too long,readable
candidate-009,2026-04-12T15:44:11-07:00,gemini-3-flash-preview,"20,195","3,082","23,277",90,47,3,339,1,9,10,19,the p value is confusing ,readable
candidate-010,2026-04-12T15:47:57-07:00,gemini-3-flash-preview,"91,648","6,596","98,244",307,119,3,533,1,8,11,19,temp doesn't make sense,readable
candidate-011,2026-04-12T10:46:38-07:00,gemini-3-flash-preview,41376,5171,46547,283,161,3,439,1,10,10,20,Meets expectations,Not bad
candidate-012,2026-04-12T11:07:06-07:00,gemini-3-flash-preview,48897,4982,53879,276,110,3,471,1,9,8,17,"Broken slot machine animation, unexpected payout calculation",A little messy
candidate-013,2026-04-12T11:17:36-07:00,gemini-3-flash-preview,39765,7554,47319,174,105,3,513,1,10,10,20,"Looks nice, runs smooth, but the payout calculations are unexpected",Some of the logic seems convoluted but otherwise clean
candidate-014,2026-04-12T11:27:42-07:00,gemini-3-flash-preview,34847,2330,37177,433,233,5784,68,0,0,0,0,Epic Fail; it's just left with all the Vite starter code so nothing really,"Did not follow instructions, tried to create a Vite app with node, agent got stuck at the Vite server (It didn't know what to do, kept asking for user to interact with Vite, so I stopped it)"
candidate-015,2026-04-12T11:42:52-07:00,gemini-3-flash-preview,49367,5650,55017,223,57,3,489,1,8,7,15,"UI is broken; can't actually view the slots after clicking the button for the first time, so its not fun(ctional)",Verbose and messy
candidate-016,2026-04-12T11:55:51-07:00,gemini-3-flash-preview,38731,5187,43918,172,55,3,481,1,10,11,21,"It looks nice, has a feature the others don't which is adding credits, it works! Although again, weird choices for payout logic",Looks okay
candidate-017,2026-04-12T12:56:44-07:00,gemini-3-flash-preview,49689,6510,56199,171,113,4,541,1,10,12,22,"works as expected, looks nice",readable and functional
candidate-018,2026-04-12T13:05:34-07:00,gemini-3-flash-preview,33096,5120,38216,161,70,3,443,1,8,11,19,hacker / matrix terminal aesthetic but never pays out ,well laid out
candidate-019,2026-04-12T13:14:07-07:00,gemini-3-flash-preview,84451,10155,94606,161,106,3,525,1,12,12,24,"works, kinda funny too, can also load in more credits","clean code, although that is to be expected since it decided to burn twice the usual tokens after making a mistake and deciding to rewrite"
candidate-020,2026-04-12T13:23:48-07:00,gemini-3-flash-preview,38470,5336,43806,127,57,3,445,1,11,12,23,"works, some humour, looks consistent","very clean and organised, especially for or perhaps because of how few tokens it used"
candidate-021,2026-4-12 15:17,gemini-3-flash-preview,55616,5600,61216,61,48.3,3,459,Yes,10,10,20,Allows you to change how much you bet on the slot machine,Code is normal and looks good
candidate-022,2026-04-12 13:05,gemini-3-flash-preview,"46,654","6,966","53,620",426,77,4,602,Yes,6,7,13,The app loads into the browser but the buttons don't do anything. There is a reset and a spin and after clikcing the button none of the slots run.,"Readable and decent, okay commenting and functionality documentation"
candidate-023,2026-04-12 13:55,gemini-3-flash-preview,"54,791","4,545","59,336",201,33.7,3,370,Yes,9,9,18,"Design is nice, the wording is confusing burn compute and equity as reward is interesting","Readable and functional, little documentation or explaination of what is happening"
candidate-024,2026-4-12 14:00,gemini-3-flash-preview,"47,366","7,211","54,577",551,140,3,484,Yes,11,12,23,"Design is pretty clean and nice, interesting how it has a prompt box. The spin is well animated. The only thing that is off is that the year is 2024 in the bottom",Code is great. Well documented and functional
candidate-025,2026-4-12 14:15,gemini-3-flash-preview,17701,4572,22273,298,39.1,3,457,Yes,9,10,19,"Like the title that is moving and has interesting retro effect to it. Some of the borders are messed up around the slots, a weird pink line through the middle of the slots","Code works, not so much documentaiton it is laid out normally and to expectations"
